Source page: https://www.congress.gov/help/field-values/member-bioguide-ids?loclr=bloglaw,,
member_value,bioguideid_value,
"Borski, Robert A. (Democratic - Pennsylvania)",B000644,
"Boschwitz, Rudy (Republican - Minnesota)",B000647,
"Bosco, Douglas H. (Democratic - California)",B000648,
"Bost, Mike (Republican - Illinois)",B001295,
"Boswell, Leonard L. (Democratic - Iowa)",B000652,
"Boucher, Rick (Democratic - Virginia)",B000657,
"Boulter, Beau (Republican - Texas)",B000666,
"Boustany, Charles W., Jr. (Republican - Louisiana)",B001255,
"Bowen, David R. (Democratic - Mississippi)",B000682,
"Boxer, Barbara (Democratic - California)",B000711,
"Boyd, Allen (Democratic - Florida)",B000716,
"Boyda, Nancy E. (Democratic - Kansas)",B001258,
"Boyle, Brendan F. (Democratic - Pennsylvania)",B001296,
"Brademas, John (Democratic - Indiana)",B000736,
"Bradley, Bill (Democratic - New Jersey)",B001225,
"Bradley, Jeb (Republican - New Hampshire)",B001246,
"Brady, Kevin (Republican - Texas)",B000755,
"Brady, Nicholas (Republican - New Jersey)",B000756,
"Brady, Robert A. (Democratic - Pennsylvania)",B001227,
"Braley, Bruce L. (Democratic - Iowa)",B001259,
"Brasco, Frank (Democratic - New York)",B000771,
"Brat, Dave (Republican - Virginia)",B001290,
"Bray, William G. (Republican - Indiana)",B000778,
"Breaux, John B. (Democratic - Louisiana)",B000780,
"Breckinridge, John B. (Democratic - Kentucky)",B000788,
"Brennan, Joseph E. (Democratic - Maine)",B000798,
"Brewster, Bill K. (Democratic - Oklahoma)",B000817,
"Bridenstine, Jim (Republican - Oklahoma)",B001283,
"Bright, Bobby (Democratic - Alabama)",B001264,
"Brinkley, Jack (Democratic - Georgia)",B000839,
"Britt, Robin (Democratic - North Carolina)",B000845,
"Brock, Bill (Republican - Tennessee)",B000851,
"Brodhead, William (Democratic - Michigan)",B000862,
"Brooke, Edward W. (Republican - Massachusetts)",B000871,
"Brooks, Jack B. (Democratic - Texas)",B000880,
"Brooks, Mo (Republican - Alabama)",B001274,
"Brooks, Susan W. (Republican - Indiana)",B001284,
"Broomfield, William S. (Republican - Michigan)",B000890,
"Brotzman, Donald G. (Republican - Colorado)",B000893,
"Broun, Paul C. (Republican - Georgia)",B001262,
"Browder, Glen (Democratic - Alabama)",B000897,
"Brown, Clarence, Jr. (Republican - Ohio)",B000910,
"Brown, Corrine (Democratic - Florida)",B000911,
"Brown, Garry E. (Republican - Michigan)",B000917,
"Brown, George E., Jr. (Democratic - California)",B000918,
"Brown, Hank (Republican - Colorado)",B000919,
"Brown, Henry E., Jr. (Republican - South Carolina)",B001235,
"Brown, Scott P. (Republican - Massachusetts)",B001268,
"Brown, Sherrod (Democratic - Ohio)",B000944,
"Brown-Waite, Ginny (Republican - Florida)",B001247,
"Brownback, Sam (Republican - Kansas)",B000953,
"Brownley, Julia (Democratic - California)",B001285,
"Broyhill, James T. (Republican - North Carolina)",B000966,
"Broyhill, Joel T. (Republican - Virginia)",B000967,
"Bruce, Terry L. (Democratic - Illinois)",B000971,
"Bryan, Richard H. (Democratic - Nevada)",B000993,
"Bryant, Ed (Republican - Tennessee)",B000996,
"Bryant, John W. (Democratic - Texas)",B000997,
"Buchanan, John (Republican - Alabama)",B001008,
"Buchanan, Vern (Republican - Florida)",B001260,
"Buck, Ken (Republican - Colorado)",B001297,
"Buckley, James L. (Republican - New York)",B001026,
"Bucshon, Larry (Republican - Indiana)",B001275,
"Buechner, Jack (Republican - Missouri)",B001036,
"Buerkle, Ann Marie (Republican - New York)",B001276,
"Bumpers, Dale (Democratic - Arkansas)",B001057,
"Bunn, Jim (Republican - Oregon)",B001063,
"Bunning, Jim (Republican - Kentucky)",B001066,
"Burdick, Joycelyn (Democratic - North Dakota)",B001076,
"Burdick, Quentin N. (Democratic - North Dakota)",B001077,
"Burgener, Clair W. (Republican - California)",B001080,
"Burgess, Michael C. (Republican - Texas)",B001248,
"Burke, J. Herbert (Republican - Florida)",B001091,
"Burke, James A. (Democratic - Massachusetts)",B001092,
"Burke, Yvonne B. (Democratic - California)",B001102,
"Burleson, Omar (Democratic - Texas)",B001111,
"Burlison, Bill D. (Democratic - Missouri)",B001113,
"Burns, Conrad R. (Republican - Montana)",B001126,
"Burns, Max (Republican - Georgia)",B001249,
"Burr, Richard (Republican - North Carolina)",B001135,
"Burris, Roland (Democratic - Illinois)",B001266,
"Burton, Dan (Republican - Indiana)",B001149,
"Burton, John (Democratic - California)",B001153,
"Burton, Phillip (Democratic - California)",B001156,
"Burton, Sala (Democratic - California)",B001158,
